Source,Target,Type,Id,bridge,required,out_boundary,distance
696080118,696080101,Directed,43024,1,0,1,232.631
736437289,684842468,Directed,43061,1,0,0,151.888
736437289,106099212,Directed,43062,1,0,0,97.722
736437289,104572699,Directed,43063,1,0,0,80.167
906438723,675647429,Directed,43344,1,0,0,5459.482
1025849742,1025849748,Directed,43603,1,0,0,48.641
1025849742,271199778,Directed,43604,1,0,0,31.803
1025849748,517880053,Directed,43605,1,0,0,1321.566
1026039938,1726587599,Directed,43943,1,0,0,283.865
1026050042,104618259,Directed,43999,1,0,0,41.705
1252092864,339254969,Directed,44366,1,0,0,152.638
1254870203,106008319,Directed,45091,1,0,1,55.697
1254870217,1254870239,Directed,45095,1,0,1,43.298
1254870239,1254870217,Directed,45096,1,0,1,43.298
1364118592,684666768,Directed,45200,1,0,0,336.109
1454927267,2831336175,Directed,45396,1,0,0,107.396
1460622861,1446495580,Directed,45426,1,0,0,57.846
1460622865,1460622861,Directed,45427,1,0,0,28.773
1460622865,1460622861,Directed,45428,1,0,0,43.515
1460700301,1460622865,Directed,45435,1,0,0,12.557
1460700301,271201214,Directed,45436,1,0,0,154.669
1462424896,3583825533,Directed,45438,1,0,0,68.967
1510734116,683730025,Directed,45462,1,0,0,144.373
1519280043,339256398,Directed,45466,1,0,0,148.863
1638174584,4568804694,Directed,45556,1,0,0,220.426
1726587599,1026039938,Directed,45825,1,0,0,283.865
1734711475,104512531,Directed,45935,1,0,0,151.794
1769431138,104682251,Directed,46141,1,0,1,141.9
1769431138,4474516661,Directed,46143,1,0,0,343.441
1790005701,104383287,Directed,46214,1,0,0,95.681
1800789686,105042615,Directed,46392,1,0,0,160.982
1800837735,3712997077,Directed,46396,1,0,0,174.29
1803959299,104602646,Directed,46432,1,0,0,540.402
1803961312,688600139,Directed,46440,1,0,0,335.851
1833482413,104987141,Directed,46517,1,0,0,188.752
1916217369,4746167170,Directed,46590,1,0,0,955.743
2400997604,2400997605,Directed,47017,1,0,0,240.877
2400997605,104871616,Directed,47019,1,0,0,23.437
2400997605,5171318180,Directed,47020,1,0,0,9.744
2400997605,824106242,Directed,47021,1,0,0,371.613
2544499855,5171318180,Directed,47188,1,0,0,24.28
2610616276,104844049,Directed,47387,1,0,0,505.785
2610616306,104461207,Directed,47394,1,0,0,2814.089
2632056364,532136266,Directed,47755,1,0,1,124.561
2672515005,105728929,Directed,47880,1,0,0,181.064
2676342302,104455264,Directed,47963,1,0,1,125.41
