FID,highway,lat,lon,osmid,ref,out_pgh,river_bge,ngh_name
10143, ,40.4675825,-80.0098849,105729186, ,0,0,Perry South
10144, ,40.4695274,-80.0084127,105729191, ,0,0,Perry South
10145, ,40.4714609,-80.0089252,105729196, ,0,0,Perry South
10146, ,40.4716655,-80.0096408,105729202, ,0,0,Perry South
10147, ,40.4747398,-80.0109451,105729289, ,0,0,Perry South
10148, ,40.4612158,-80.0087438,105729319, ,0,0,Central Northside
10149, ,40.4610267,-80.0137154,105729355, ,0,0,Perry South
10150, ,40.3722441,-79.997923,105729378, ,1,0,
10151,turning_circle,40.374735,-79.9961442,105729393, ,1,0,
10152,turning_circle,40.4422856,-79.936098,105729413, ,0,0,Squirrel Hill North
10153, ,40.4188334,-80.0135867,105729425, ,0,0,Mount Washington
10154, ,40.455155,-80.068373,105730098, ,0,0,Sheraden
10155, ,40.4584728,-79.8585377,105730200, ,1,0,
10156, ,40.4584457,-79.8600786,105730207, ,1,0,
10157, ,40.4032636,-79.9402413,105730685, ,0,0,Hazelwood
10158, ,40.444718,-79.9736452,105730697, ,0,0,Middle Hill
10159, ,40.4448083,-79.9758746,105730724, ,0,0,Middle Hill
10160, ,40.4447378,-79.9745835,105730731, ,0,0,Middle Hill
10161, ,40.473121,-79.9834562,105730947, ,1,0,
10162, ,40.4738592,-79.9813903,105730953, ,1,0,
10163,turning_circle,40.4095178,-80.0101115,105730991, ,0,0,Brookline
10164, ,40.46866,-79.8821865,105731024, ,1,0,
10165, ,40.4289247,-79.8944092,105731038, ,1,0,
10166,turning_circle,40.4478954,-79.9203115,105731073, ,0,0,Point Breeze
10167, ,40.4420453,-79.918547,105731082, ,0,0,Squirrel Hill North
10168, ,40.4404609,-79.9180796,105731086, ,0,0,Squirrel Hill North
10169, ,40.4580908,-79.9193478,105731124, ,0,0,Shadyside
10170, ,40.4575684,-79.919528,105731129, ,0,0,Shadyside
10171, ,40.4556614,-79.9197254,105731136, ,0,0,Shadyside
10172, ,40.4555281,-79.9198171,105731144, ,0,0,Shadyside
10173, ,40.4547649,-79.919944,105731153, ,0,0,Shadyside
10174, ,40.4538837,-79.9198789,105731161, ,0,0,Shadyside
10175, ,40.4692119,-80.0596578,105731390, ,1,0,
10176, ,40.4440426,-79.9856666,105731498, ,0,0,Crawford-Roberts
10177,stop,40.4444023,-79.9848443,105731504, ,0,0,Crawford-Roberts
10178, ,40.4451214,-79.983126,105731514, ,0,0,Crawford-Roberts
10179, ,40.4458468,-79.9814109,105731525, ,0,0,Middle Hill
10180, ,40.445991,-79.9810821,105731541, ,0,0,Middle Hill
10181, ,40.4465185,-79.9798058,105731548, ,0,0,Middle Hill
